,,,,
"us","Cewka 1","Cewka 2","Cewka 3","Cewka 4","Foto 1","Foto 2"
,,,,
1,0,0,0,9,3,4
105,0,0,0,9,3,4
106,0,7,0,9,3,4
134,0,7,0,9,3,4
135,0,0,0,9,3,4
135,0,0,0,9,3,4
136,0,0,8,9,3,4
137,0,0,8,9,3,4
138,0,7,0,9,3,4
166,0,7,0,9,3,4
167,0,0,8,9,3,4
169,0,0,8,9,3,4
170,0,7,0,9,3,4
198,0,7,0,9,3,4
199,0,0,8,9,3,4
201,0,0,8,9,3,4
202,0,7,0,9,3,4
230,0,7,0,9,3,4
231,0,0,8,9,3,4
233,0,0,8,9,3,4
234,0,7,0,9,3,4
262,0,7,0,9,3,4
263,0,0,8,9,3,4
265,0,0,8,9,3,4
266,0,7,0,9,3,4
271,0,7,0,9,3,4
272,0,7,0,9,0,4
294,0,7,0,9,0,4
295,0,0,8,9,0,4
297,0,0,8,9,0,4
298,0,7,0,9,0,4
326,0,7,0,9,0,4
327,0,0,8,9,0,4
329,0,0,8,9,0,4
330,0,7,0,9,0,4
358,0,7,0,9,0,4
359,0,0,8,9,0,4
361,0,0,8,9,0,4
362,0,7,0,0,0,4
362,0,7,0,0,0,4
363,0,7,0,9,0,4
389,0,7,0,9,0,4
390,0,7,0,0,0,4
390,0,7,0,0,0,4
391,0,0,8,0,0,4
393,0,0,8,0,0,4
394,0,7,0,0,0,4
422,0,7,0,0,0,4
423,0,0,8,0,0,4
425,0,0,8,0,0,4
426,0,7,0,0,0,4
578,0,7,0,0,0,4
579,6,7,0,0,0,4
582,6,7,0,0,0,4
583,0,7,0,9,0,4
584,0,7,0,9,0,4
585,0,7,0,0,0,4
585,0,7,0,0,0,4
586,6,7,0,0,0,4
617,6,7,0,0,0,4
618,6,7,0,9,0,4
618,6,7,0,9,0,4
619,0,7,0,9,0,4
619,0,7,0,9,0,4
620,6,7,0,0,0,4
646,6,7,0,0,0,4
647,0,7,0,9,0,4
648,0,7,0,9,0,4
649,6,7,0,0,0,4
670,6,7,0,0,0,4
671,6,7,0,0,0,0
678,6,7,0,0,0,0
679,0,7,0,9,0,0
680,0,7,0,9,0,0
681,6,7,0,0,0,0
705,6,7,0,0,0,0
706,0,7,0,9,0,0
707,0,7,0,9,0,0
708,0,7,0,0,0,0
708,0,7,0,0,0,0
709,6,7,0,0,0,0
737,6,7,0,0,0,0
738,0,7,0,9,0,0
740,0,7,0,9,0,0
741,6,7,0,0,0,0
769,6,7,0,0,0,0
770,0,7,0,9,0,0
770,0,7,0,9,0,0
771,0,0,0,9,0,0
771,0,0,0,9,0,0
772,0,0,0,0,0,0
772,0,0,0,0,0,0
773,6,7,0,0,0,0
785,6,7,0,0,0,0
786,6,0,0,0,0,0
801,6,0,0,0,0,0
802,0,0,0,9,0,0
803,0,0,0,9,0,0
804,0,0,0,0,0,0
804,0,0,0,0,0,0
805,6,0,0,0,0,0
833,6,0,0,0,0,0
834,0,0,0,9,0,0
835,0,0,0,9,0,0
836,6,0,0,0,0,0
972,6,0,0,0,0,0
973,6,0,8,0,0,0
993,6,0,8,0,0,0
994,6,7,0,0,0,0
995,6,7,0,0,0,0
996,6,0,8,0,0,0
1025,6,0,8,0,0,0
1026,6,7,0,0,0,0
1027,6,7,0,0,0,0
1028,6,0,8,0,0,0
1057,6,0,8,0,0,0
1058,6,7,0,0,0,0
1059,6,7,0,0,0,0
1060,6,0,8,0,0,0
1089,6,0,8,0,0,0
1090,6,7,0,0,0,0
1091,6,7,0,0,0,0
1092,6,0,8,0,0,0
1121,6,0,8,0,0,0
1122,6,7,0,0,0,0
1123,6,7,0,0,0,0
1124,6,0,8,0,0,0
1128,6,0,8,0,0,0
1129,6,0,8,0,3,0
1153,6,0,8,0,3,0
1154,6,7,0,0,3,0
1155,6,7,0,0,3,0
1156,6,0,8,0,3,0
1185,6,0,8,0,3,0
1186,6,7,0,0,3,0
1187,6,7,0,0,3,0
1188,6,0,8,0,3,0
1217,6,0,8,0,3,0
1218,6,7,0,0,3,0
1218,6,7,0,0,3,0
1219,0,7,0,0,3,0
1219,0,7,0,0,3,0
1220,6,0,8,0,3,0
1241,6,0,8,0,3,0
1242,0,0,8,0,3,0
1249,0,0,8,0,3,0
1250,0,7,0,0,3,0
1251,0,7,0,0,3,0
1252,0,0,8,0,3,0
1281,0,0,8,0,3,0
1282,0,7,0,0,3,0
1283,0,7,0,0,3,0
1284,0,0,8,0,3,0
1313,0,0,8,0,3,0
1314,0,7,0,0,3,0
1315,0,7,0,0,3,0
1316,0,0,8,0,3,0
1345,0,0,8,0,3,0
1346,0,0,0,0,3,0
1346,0,0,0,0,3,0
1347,0,0,8,0,3,0
1432,0,0,8,0,3,0
1433,0,0,8,9,3,0
1437,0,0,8,9,3,0
1438,0,0,8,0,3,0
1438,0,0,8,0,3,0
1439,6,0,8,0,3,0
1439,6,0,8,0,3,0
1440,0,0,8,9,3,0
1469,0,0,8,9,3,0
1470,0,0,8,0,3,0
1470,0,0,8,0,3,0
1471,6,0,8,0,3,0
1471,6,0,8,0,3,0
1472,0,0,8,9,3,0
1501,0,0,8,9,3,0
1502,0,0,8,0,3,0
1502,0,0,8,0,3,0
1503,6,0,8,0,3,0
1503,6,0,8,0,3,0
1504,0,0,8,9,3,0
1533,0,0,8,9,3,0
1534,0,0,8,0,3,0
1534,0,0,8,0,3,0
1535,6,0,8,0,3,0
1535,6,0,8,0,3,0
1536,0,0,8,9,3,0
1565,0,0,8,9,3,0
1566,0,0,8,0,3,0
1566,0,0,8,0,3,0
1567,6,0,8,0,3,0
1567,6,0,8,0,3,0
1568,0,0,8,9,3,0
1587,0,0,8,9,3,0
1588,0,0,8,9,3,4
1597,0,0,8,9,3,4
1598,0,0,8,0,3,4
1598,0,0,8,0,3,4
1599,6,0,8,0,3,4
1599,6,0,8,0,3,4
1600,0,0,8,9,3,4
1629,0,0,8,9,3,4
1630,0,0,8,0,3,4
1630,0,0,8,0,3,4
1631,6,0,8,0,3,4
1631,6,0,8,0,3,4
1632,0,0,8,9,3,4
1661,0,0,8,9,3,4
1662,0,0,8,0,3,4
1662,0,0,8,0,3,4
1663,6,0,8,0,3,4
1663,6,0,8,0,3,4
1664,0,0,8,9,3,4
1693,0,0,8,9,3,4
1694,0,0,8,0,3,4
1694,0,0,8,0,3,4
1695,6,0,0,0,3,4
1695,6,0,0,0,3,4
1696,0,0,8,9,3,4
1696,0,0,8,9,3,4
1697,0,0,0,9,3,4
1725,0,0,0,9,3,4
1726,0,0,0,0,3,4
1726,0,0,0,0,3,4
1727,6,0,0,0,3,4
1727,6,0,0,0,3,4
1728,0,0,0,9,3,4
1757,0,0,0,9,3,4
1758,0,0,0,0,3,4
1758,0,0,0,0,3,4
1759,6,0,0,0,3,4
1759,6,0,0,0,3,4
1760,0,0,0,9,3,4
1789,0,0,0,9,3,4
1790,0,0,0,0,3,4
1791,0,0,0,0,3,4
1792,0,0,0,9,3,4
1893,0,0,0,9,3,4
1894,0,7,0,9,3,4
1917,0,7,0,9,3,4
1918,0,0,8,9,3,4
1919,0,0,8,9,3,4
1920,0,7,0,9,3,4
1949,0,7,0,9,3,4
1950,0,0,8,9,3,4
1951,0,0,8,9,3,4
1952,0,7,0,9,3,4
1981,0,7,0,9,3,4
1982,0,0,8,9,3,4
1983,0,0,8,9,3,4
1984,0,7,0,9,3,4
2013,0,7,0,9,3,4
2014,0,0,8,9,3,4
2015,0,0,8,9,3,4
2016,0,7,0,9,3,4
2045,0,7,0,9,3,4
2046,0,0,8,9,3,4
2046,0,0,8,9,3,4
2047,0,7,0,9,0,4
2074,0,7,0,9,0,4
2075,0,0,8,9,0,4
2075,0,0,8,9,0,4
2076,0,7,0,9,0,4
2106,0,7,0,9,0,4
2107,0,0,8,9,0,4
2107,0,0,8,9,0,4
2108,0,7,0,9,0,4
2138,0,7,0,9,0,4
2139,0,0,8,9,0,4
2139,0,0,8,9,0,4
2140,0,7,0,0,0,4
2170,0,7,0,0,0,4
2171,0,0,8,0,0,4
2171,0,0,8,0,0,4
2172,0,7,0,0,0,4
2201,0,7,0,0,0,4
2202,0,0,0,0,0,4
2202,0,0,0,0,0,4
2203,0,0,8,0,0,4
